# files parsed: 687; parse failures: 0
status	note	area	location	kind	op	table	owned	constraint	key	expression
UNREAD		console	app/Console/Commands/ArchiveOldAuditLogs.php:24	raw	read	platform_audit_logs	convention:target	none:-	d25889f7be	\Illuminate\Support\Facades\DB::table('platform_audit_logs')->where('created_at', '<', $cutoff)->limit(500)->get()
UNREAD		console	app/Console/Commands/ArchiveOldAuditLogs.php:43	raw	WRITE	platform_audit_logs_archive	convention:target	none:-	7d248ad0d3	\Illuminate\Support\Facades\DB::table('platform_audit_logs_archive')->insert($archiveRows)
UNREAD		console	app/Console/Commands/ArchiveOldAuditLogs.php:44	raw	WRITE	platform_audit_logs	convention:target	key:other	f9e60695ff	\Illuminate\Support\Facades\DB::table('platform_audit_logs')->whereIn('id', $ids)->delete()
global	no tenant table: - — names no table	console	app/Console/Commands/AuditForeignReferences.php:45	raw	read	-	-	none:-	a644552f32	\Illuminate\Support\Facades\DB::statement('SET TRANSACTION READ ONLY')
global	no tenant table: - — names no table	console	app/Console/Commands/AuditForeignReferences.php:47	raw	read	-	-	none:-	0db75c8259	\Illuminate\Support\Facades\DB::statement("SET LOCAL statement_timeout = '120s'")
global	no tenant table: information_schema.columns — system catalog	console	app/Console/Commands/AuditForeignReferences.php:57	raw	read	information_schema.columns	-	mention:-	16b723b730	\Illuminate\Support\Facades\DB::select("select table_name from information_schema.columns\n where table_schema = current_schema() and column_name = 'shop_id'")
global	no tenant table: information_schema.table_constraints — system catalog; information_schema.key_column_usage — system catalog; information_schema.constraint_column_usage — system catalog	console	app/Console/Commands/AuditForeignReferences.php:59	raw	read	information_schema.table_constraints,information_schema.key_column_usage,information_schema.constraint_column_usage	-	none:-	d4fc8ffd73	\Illuminate\Support\Facades\DB::select("select kcu.table_name t, kcu.column_name c, ccu.table_name p\n from information_schema.table_constraints tc\n join information_schema.key_column_usage kcu on kcu.constraint_name = tc.constraint_name and kcu.table_schema = tc.table_schema\n join information_schema.constraint_column_usage ccu on ccu.constraint_name = tc.constraint_name and ccu.table_schema = tc.table_schema\n where tc.constraint_type = 'FOREIGN KEY' and tc.table_schema = current_schema() and ccu.column_name = 'id'")
global	no tenant table: information_schema.columns — system catalog	console	app/Console/Commands/AuditForeignReferences.php:64	raw	read	information_schema.columns	-	mention:-	6113dd41c9	\Illuminate\Support\Facades\DB::select("select table_name t, column_name c from information_schema.columns\n where table_schema = current_schema() and column_name like '%\\_id' and column_name <> 'shop_id'")
UNREAD		console	app/Console/Commands/AuditForeignReferences.php:112	raw	read	?	?	none:-	8136dba82f	\Illuminate\Support\Facades\DB::selectOne("select count(*) as n {$from}")
UNREAD		console	app/Console/Commands/AuditForeignReferences.php:118	raw	read	?	?	none:-	887e08d652	\Illuminate\Support\Facades\DB::select("select {$select} {$from} order by 1 limit ?", [max(1, (int) $this->option('examples'))])
